"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2730","RT @svaboda: У Менску атмасфэра нібыта вайна
#ДзеньВолі https://t.co/Q2LHl6Jtwk",FALSE,0,NA,2017-03-26 00:07:27,FALSE,NA,"845789255557361665",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Skarpena1",199,TRUE,FALSE,NA,NA
"2731","RT @kommunar_: :с #дзеньволі https://t.co/Q0wqP16aJA",FALSE,0,NA,2017-03-26 00:04:39,FALSE,NA,"845788552650739712",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dm_Du",13,TRUE,FALSE,NA,NA
"2732","RT @Kirilenko_a: В Витебске подожгли автозак #витебск #дармаеды #беларусь https://t.co/AjURGJt4JD",FALSE,0,NA,2017-03-26 00:04:38,FALSE,NA,"845788549521833984",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","grynichka",8,TRUE,FALSE,NA,NA
"2733","RT @sm17ru: Между нами тает лёд, потому что у правительства долбоеб.  #25сакавіка #Беларусь #ДзеньВолі",FALSE,0,NA,2017-03-26 00:04:25,FALSE,NA,"845788494333136896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sm17ru",1,TRUE,FALSE,NA,NA
"2734","RT @Anti_charter97: Мирные протесты в США заканчиваются вот так... #ДзеньВолі https://t.co/OBpy03PTus",FALSE,0,NA,2017-03-26 00:02:37,FALSE,NA,"845788038542381056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Raa_Svet",141,TRUE,FALSE,NA,NA
"2735","RT @kommunar_: :с #дзеньволі https://t.co/Q0wqP16aJA",FALSE,0,NA,2017-03-26 00:02:32,FALSE,NA,"845788017717534722",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","pnkpx",13,TRUE,FALSE,NA,NA
"2736","RT @Anti_charter97: Мирные протесты в США заканчиваются вот так... #ДзеньВолі https://t.co/OBpy03PTus",FALSE,0,NA,2017-03-26 00:01:27,FALSE,NA,"845787745872171009",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nurkinagi",141,TRUE,FALSE,NA,NA
"2737","RT @bel_fayette: Это не фото с Майдана, а просто Минск 25.03.2107!
#ДзеньВолі #25сакавіка https://t.co/Bh8S4I8f1v",FALSE,0,NA,2017-03-26 00:00:04,FALSE,NA,"845787397359108096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iYjDUWadgjbZg2w",116,TRUE,FALSE,NA,NA
"2738","RT @kommunar_: :с #дзеньволі https://t.co/Q0wqP16aJA",FALSE,0,NA,2017-03-25 23:59:01,FALSE,NA,"845787133675737088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Imedi_UA",13,TRUE,FALSE,NA,NA
"2739","RT @kommunar_: :с #дзеньволі https://t.co/Q0wqP16aJA",FALSE,0,NA,2017-03-25 23:57:30,FALSE,NA,"845786752740679680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OkYoRick",13,TRUE,FALSE,NA,NA
"2740","RT @piliuhina: Прага выходзіць на акцыю салідарнасьці з тым вэрхалам, які адбываўся на #ДзеньВолі https://t.co/MX3tuF2QGi",FALSE,0,NA,2017-03-25 23:55:12,FALSE,NA,"845786171997208576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","juntas_friend",5,TRUE,FALSE,NA,NA
"2741","RT @svabodka: Когда-то День Воли был таким.
Люди толокой собирали деньги для Луки на билет в Россию.
#25сакавіка #дзеньволі https://t.co/oh…",FALSE,0,NA,2017-03-25 23:54:14,FALSE,NA,"845785929612701697",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","finndima",29,TRUE,FALSE,NA,NA
"2742","RT @CET_groupe: Милиция в Минске разогнала участников акции в честь Дня Воли https://t.co/rJH8Lt9nPS #25сакавіка #ДзеньВолі #Беларусь #twib…",FALSE,0,NA,2017-03-25 23:53:26,FALSE,NA,"845785729791877121",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oksiburmich",1,TRUE,FALSE,NA,NA
"2743","RT @kommunar_: :с #дзеньволі https://t.co/Q0wqP16aJA",FALSE,0,NA,2017-03-25 23:52:47,FALSE,NA,"845785567963070470",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Virina_Vi",13,TRUE,FALSE,NA,NA
