"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"6101","RT @HannaLiubakova: Please, pay attention to what happened in #Belarus today.Human rights defenders say more than 700 people were detained…",FALSE,0,NA,2017-03-25 22:17:20,FALSE,NA,"845761545569132545",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bassethoundfinn",641,TRUE,FALSE,NA,NA
"6102","RT @syndicalisms: Hundreds detained as #Belarus regime struggles to quell protests https://t.co/4KrK9otsei https://t.co/73jXIbtCz8",FALSE,0,NA,2017-03-25 22:17:19,FALSE,NA,"845761539810451456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","khaledcheibi",11,TRUE,FALSE,NA,NA
"6103","RT @RKacinskas: When a pic is worth a thousand words: Crackdown on a peaceful #Belarus #freedom day protest today is the best reminder what…",FALSE,0,NA,2017-03-25 22:17:19,FALSE,NA,"845761539323813888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Vcondley2",376,TRUE,FALSE,NA,NA
"6104","RT @syndicalisms: #Belarus: 300 confirmed detentions in #Minsk, according to activists, during anti-regime protests. Police brutality repor…",FALSE,0,NA,2017-03-25 22:17:14,FALSE,NA,"845761521212936192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","khaledcheibi",63,TRUE,FALSE,NA,NA
"6105","RT @Karine_Bonneau_: Solidarity with @viasna96 &amp; human rights defenders in #Belarus facing brutal repression @Ales_Bialiatski @fidh_eu @fid…",FALSE,0,NA,2017-03-25 22:17:13,FALSE,NA,"845761516863459329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fidh_eu",6,TRUE,FALSE,NA,NA
"6106","RT @RT_com: Belarus #opposition protest: Several dozen detained at unauthorized ‘#FreedomDay’ rally in #Minsk  https://t.co/JRn5L8Rhg6 http…",FALSE,0,NA,2017-03-25 22:17:08,FALSE,NA,"845761495417925633",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jonas_ESC",166,TRUE,FALSE,NA,NA
"6107","RT @RKacinskas: When a pic is worth a thousand words: Crackdown on a peaceful #Belarus #freedom day protest today is the best reminder what…",FALSE,0,NA,2017-03-25 22:16:47,FALSE,NA,"845761408092590081",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jonas_ESC",376,TRUE,FALSE,NA,NA
"6108","RT @EuromaidanPress: British journo @filipwarwick was detained, beaten in #Minsk amid the anti-government rally on Mar25 @EuromaidanPress h…",FALSE,0,NA,2017-03-25 22:16:40,FALSE,NA,"845761377096622084",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DonDurgad",9,TRUE,FALSE,NA,NA
"6109","Solidarity with @viasna96 &amp; human rights defenders in #Belarus facing brutal repression @Ales_Bialiatski @fidh_eu… https://t.co/Mk0GFgYNSR",FALSE,0,NA,2017-03-25 22:16:37,TRUE,NA,"845761365805600770",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Karine_Bonneau_",6,FALSE,FALSE,NA,NA
"6110","RT @BFreeTheatre: Human rights organisations call on #Lukashenko to stop arrests &amp; detention of journalists &amp; protestors in #Belarus https:…",FALSE,0,NA,2017-03-25 22:16:33,FALSE,NA,"845761348722216961",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","reginerayani",11,TRUE,FALSE,NA,NA
